2026-02-06 21:35:12 [INFO] src.database: Database initialized at encounters.db
2026-02-06 21:35:12 [INFO] __main__: Starting AIS encounter collector...
2026-02-06 21:35:12 [INFO] __main__: Press Ctrl+C to stop.
2026-02-06 21:35:12 [INFO] src.ais_client: Connecting to AISStream.io...
2026-02-06 21:35:12 [INFO] src.ais_client: Subscribed. Streaming AIS data...
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 211439370 <-> 244670043 (dist: 4826 m, type: overtaking, CPA: 469 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244660097 <-> 244670043 (dist: 2558 m, type: crossing, CPA: 2462 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 211544850 <-> 244670043 (dist: 1053 m, type: crossing, CPA: 799 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244690001 <-> 244730153 (dist: 713 m, type: overtaking, CPA: 711 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 209850000 <-> 244690001 (dist: 3855 m, type: overtaking, CPA: 1332 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244690001 <-> 244780380 (dist: 2745 m, type: overtaking, CPA: 1454 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244690001 <-> 311001027 (dist: 1965 m, type: overtaking, CPA: 1508 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244690001 <-> 255915891 (dist: 1969 m, type: head-on, CPA: 1153 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 211515210 <-> 244012721 (dist: 2530 m, type: crossing, CPA: 232 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244236663 <-> 244790561 (dist: 2585 m, type: overtaking, CPA: 2440 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244182413 <-> 244790561 (dist: 5519 m, type: overtaking, CPA: 3863 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244790561 (dist: 5031 m, type: overtaking, CPA: 73 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244184488 <-> 244790561 (dist: 438 m, type: crossing, CPA: 337 m)
2026-02-06 21:35:22 [INFO] src.encounter_detector: Encounter STARTED: 244717092 <-> 244790561 (dist: 2133 m, type: crossing, CPA: 582 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244660017 <-> 244730977 (dist: 5255 m, type: crossing, CPA: 926 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244660401 <-> 244730977 (dist: 5533 m, type: overtaking, CPA: 5363 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 245889000 <-> 253661000 (dist: 2494 m, type: crossing, CPA: 2477 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244236663 <-> 244780316 (dist: 1187 m, type: crossing, CPA: 863 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244182413 <-> 244780316 (dist: 3765 m, type: crossing, CPA: 3568 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244740865 <-> 244780316 (dist: 4926 m, type: overtaking, CPA: 1788 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 211618190 <-> 244780316 (dist: 3846 m, type: crossing, CPA: 3663 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244184488 <-> 244780316 (dist: 2179 m, type: crossing, CPA: 1728 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244717092 <-> 244780316 (dist: 439 m, type: overtaking, CPA: 427 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244780316 <-> 244790561 (dist: 1898 m, type: head-on, CPA: 443 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 235094271 <-> 257511000 (dist: 328 m, type: head-on, CPA: 327 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244670740 <-> 253242385 (dist: 1865 m, type: crossing, CPA: 193 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205546090 <-> 244670740 (dist: 733 m, type: overtaking, CPA: 577 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244660571 <-> 244670740 (dist: 1488 m, type: head-on, CPA: 242 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244020518 <-> 244730153 (dist: 4599 m, type: overtaking, CPA: 2570 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244020518 <-> 244780939 (dist: 2902 m, type: overtaking, CPA: 2891 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 209850000 <-> 244020518 (dist: 1720 m, type: overtaking, CPA: 1623 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244020518 <-> 636013376 (dist: 3625 m, type: overtaking, CPA: 938 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244020518 <-> 244780380 (dist: 5501 m, type: overtaking, CPA: 3869 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244020518 <-> 244690685 (dist: 1213 m, type: crossing, CPA: 38 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244020518 <-> 244690001 (dist: 4631 m, type: overtaking, CPA: 2440 m)
2026-02-06 21:35:23 [INFO] __main__: Processed 1000 position messages
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205533090 <-> 211439370 (dist: 1441 m, type: crossing, CPA: 118 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205533090 <-> 244660097 (dist: 4532 m, type: overtaking, CPA: 3902 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205533090 <-> 211544850 (dist: 2377 m, type: overtaking, CPA: 445 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205533090 <-> 244690453 (dist: 4371 m, type: overtaking, CPA: 4366 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205533090 <-> 244670043 (dist: 3414 m, type: crossing, CPA: 1005 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 205556190 <-> 244620959 (dist: 4941 m, type: crossing, CPA: 4416 m)
2026-02-06 21:35:23 [INFO] src.encounter_detector: Encounter STARTED: 244620875 <-> 244620959 (dist: 1698 m, type: overtaking, CPA: 959 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 205452690 <-> 205556190 (dist: 765 m, type: head-on, CPA: 462 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 205452690 <-> 244620875 (dist: 4832 m, type: crossing, CPA: 4470 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 205452690 <-> 247091500 (dist: 4866 m, type: overtaking, CPA: 3831 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 205452690 <-> 244620959 (dist: 4497 m, type: overtaking, CPA: 4446 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 244700229 <-> 244710387 (dist: 3479 m, type: crossing, CPA: 820 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 244660320 <-> 244803840 (dist: 4280 m, type: crossing, CPA: 2680 m)
2026-02-06 21:35:24 [INFO] src.encounter_detector: Encounter STARTED: 205271390 <-> 244660061 (dist: 1475 m, type: head-on, CPA: 17 m)
